cwe_id,base_score_mean,base_score_max,base_score_std,confidentiality_impact_numeric_mean,integrity_impact_numeric_mean,availability_impact_numeric_mean,attack_vector_<lambda>,privileges_required_<lambda>,user_interaction_<lambda>,cve_count,av_weight,pr_weight,actual_risk_score
CWE-1021,6.11025641025641,9.8,1.3876842074795253,1.3384615384615384,1.6102564102564103,0.9282051282051282,NETWORK,NONE,REQUIRED,195,1.5,1.2,10.998461538461536
CWE-1076,6.5,6.5,0.0,0.0,0.0,3.0,ADJACENT_NETWORK,NONE,NONE,1,1.2,1.2,9.36
CWE-113,5.3,5.3,0.0,0.0,1.0,0.0,NETWORK,NONE,NONE,1,1.5,1.2,9.54
CWE-114,9.25,10.0,0.8185352771872457,3.0,3.0,3.0,NETWORK,NONE,NONE,4,1.5,1.2,16.65
CWE-116,6.893918918918919,9.8,1.7897374242617008,1.5714285714285714,1.5918367346938775,1.0748299319727892,NETWORK,NONE,NONE,148,1.5,1.2,12.409054054054053
CWE-117,5.35,5.4,0.07071067811865545,0.5,1.0,0.0,NETWORK,LOW,NONE,2,1.5,1.0,8.024999999999999
CWE-1188,7.478378378378378,10.0,1.8643938579624997,2.3943661971830985,1.9577464788732395,1.732394366197183,NETWORK,NONE,NONE,74,1.5,1.2,13.46108108108108
CWE-119,7.621296296296296,10.0,1.559923214967819,2.0969609261939217,2.002894356005789,2.604075691411936,NETWORK,NONE,NONE,756,1.5,1.2,13.718333333333332
CWE-120,8.114497041420119,10.0,1.4468386603997956,2.0832342449464925,2.0558858501783592,2.911309523809524,NETWORK,NONE,NONE,1690,1.5,1.2,14.606094674556214
CWE-121,8.311538461538463,9.8,1.4166591251684644,2.6470588235294117,2.784313725490196,2.8823529411764706,NETWORK,NONE,NONE,52,1.5,1.2,14.960769230769234
CWE-122,7.476785714285714,9.8,1.0206933599592656,2.62,2.54,2.9,LOCAL,NONE,REQUIRED,56,1.0,1.2,8.972142857142856
CWE-1220,6.3999999999999995,7.5,1.8193405398660252,1.0,1.3333333333333333,2.0,ADJACENT_NETWORK,HIGH,NONE,3,1.2,0.8,6.143999999999999
CWE-123,7.833333333333333,8.6,1.001665280087781,3.0,3.0,3.0,LOCAL,HIGH,NONE,3,1.0,0.8,6.266666666666667
CWE-1230,6.5,6.5,0.0,3.0,0.0,0.0,NETWORK,LOW,NONE,1,1.5,1.0,9.75
CWE-1236,8.051282051282051,9.8,1.1837706692377032,2.8034188034188032,2.7606837606837606,2.6324786324786325,NETWORK,NONE,REQUIRED,117,1.5,1.2,14.49230769230769
CWE-125,6.476200480192077,10.0,1.5512734523450493,2.2739345274861025,0.6622436670687576,1.6246980676328502,LOCAL,NONE,NONE,3332,1.0,1.2,7.771440576230492
CWE-126,7.05,8.6,1.1785361124806712,1.35,0.9,2.55,LOCAL,NONE,NONE,20,1.0,1.2,8.459999999999999
CWE-1262,6.5,6.5,0.0,3.0,0.0,0.0,LOCAL,LOW,NONE,1,1.0,1.0,6.5
CWE-1263,6.8,6.8,0.0,3.0,3.0,3.0,PHYSICAL,NONE,NONE,2,0.8,1.2,6.5280000000000005
CWE-1281,7.8,7.8,0.0,3.0,3.0,3.0,LOCAL,LOW,NONE,1,1.0,1.0,7.8
CWE-1283,4.6,4.6,0.0,0.0,3.0,0.0,PHYSICAL,NONE,NONE,1,0.8,1.2,4.4159999999999995
CWE-1284,7.245535714285714,10.0,1.5972887159046238,1.2053571428571428,1.1517857142857142,2.544642857142857,NETWORK,NONE,NONE,112,1.5,1.2,13.041964285714284
CWE-1285,9.8,9.8,0.0,3.0,3.0,3.0,NETWORK,NONE,NONE,1,1.5,1.2,17.64
CWE-1286,6.35,7.5,1.0754843869934452,0.75,0.0,2.25,NETWORK,LOW,NONE,4,1.5,1.0,9.524999999999999
CWE-1287,7.3,9.8,1.5033296378372911,1.5,1.1666666666666667,2.0,NETWORK,NONE,NONE,6,1.5,1.2,13.139999999999999
CWE-129,7.519111111111111,9.9,1.1520707719111984,2.1531531531531534,2.1576576576576576,2.9054054054054053,LOCAL,LOW,NONE,225,1.0,1.0,7.519111111111111
CWE-130,5.6,7.5,2.6870057685088806,0.0,0.0,2.0,NETWORK,NONE,NONE,2,1.5,1.2,10.079999999999998
CWE-131,7.034,9.8,1.3767174802435551,1.5918367346938775,1.5510204081632653,2.6666666666666665,LOCAL,NONE,NONE,50,1.0,1.2,8.4408
CWE-1321,8.83976377952756,10.0,1.4599913176237203,2.361111111111111,2.5476190476190474,2.541832669322709,NETWORK,NONE,NONE,254,1.5,1.2,15.911574803149609
CWE-1323,4.550000000000001,4.7,0.2121320343559638,3.0,0.0,0.0,LOCAL,HIGH,NONE,2,1.0,0.8,3.6400000000000006
CWE-1326,4.2,4.2,0.0,0.0,3.0,0.0,PHYSICAL,NONE,NONE,1,0.8,1.2,4.032
CWE-1333,7.0830769230769235,9.8,0.8742423932145919,0.015384615384615385,0.03076923076923077,2.8153846153846156,NETWORK,NONE,NONE,195,1.5,1.2,12.749538461538462
CWE-1336,8.4,9.9,1.7349351572897473,3.0,3.0,3.0,NETWORK,LOW,NONE,3,1.5,1.0,12.600000000000001
CWE-134,8.156896551724138,9.8,1.3876791262866788,2.3508771929824563,2.1578947368421053,2.824561403508772,NETWORK,NONE,NONE,58,1.5,1.2,14.682413793103448
CWE-1390,8.6,9.8,2.0784609690826534,3.0,2.0,2.0,NETWORK,NONE,NONE,3,1.5,1.2,15.479999999999997
CWE-1391,6.800000000000001,9.8,3.4044089061098406,2.3333333333333335,1.0,1.0,NETWORK,NONE,NONE,3,1.5,1.2,12.24
CWE-1392,5.825,9.8,3.850865703535592,2.0,1.5,1.5,ADJACENT_NETWORK,NONE,NONE,4,1.2,1.2,8.388
CWE-1393,4.7,6.3,2.2627416997969516,1.0,0.5,0.5,ADJACENT_NETWORK,NONE,NONE,2,1.2,1.2,6.768
CWE-141,6.2,6.2,0.0,3.0,0.0,0.0,NETWORK,HIGH,REQUIRED,1,1.5,0.8,7.440000000000001
CWE-15,8.99090909090909,9.1,0.2773248833211527,3.0,2.8181818181818183,2.727272727272727,NETWORK,HIGH,NONE,11,1.5,0.8,10.789090909090909
CWE-150,8.7,8.8,0.1414213562373109,1.5,3.0,1.5,NETWORK,LOW,NONE,2,1.5,1.0,13.049999999999999
CWE-155,5.3,5.3,0.0,1.0,0.0,0.0,NETWORK,NONE,NONE,1,1.5,1.2,9.54
CWE-16,4.3,4.3,0.0,0.0,1.0,0.0,NETWORK,LOW,NONE,1,1.5,1.0,6.449999999999999
CWE-167,7.5,7.5,0.0,0.0,0.0,3.0,NETWORK,NONE,NONE,1,1.5,1.2,13.5
CWE-172,7.5,7.5,0.0,0.0,3.0,0.0,NETWORK,NONE,NONE,1,1.5,1.2,13.5
CWE-178,6.658333333333334,9.8,2.2329997489448763,2.3636363636363638,1.4166666666666667,1.0,NETWORK,NONE,NONE,12,1.5,1.2,11.985000000000001
CWE-185,7.5,7.5,0.0,0.0,0.0,3.0,NETWORK,NONE,NONE,1,1.5,1.2,13.5
CWE-187,3.7,3.7,0.0,0.0,1.0,0.0,NETWORK,NONE,NONE,1,1.5,1.2,6.660000000000001
CWE-189,6.6,8.8,1.7888543819998322,1.0,1.0,1.4,NETWORK,NONE,NONE,5,1.5,1.2,11.879999999999997
CWE-190,7.391325898389096,9.9,1.5799061132424763,1.916145181476846,1.8310387984981227,2.779724655819775,LOCAL,NONE,NONE,807,1.0,1.2,8.869591078066914
CWE-191,7.26,9.8,1.4590854096173191,1.7480314960629921,1.5625,2.606299212598425,LOCAL,NONE,NONE,130,1.0,1.2,8.712
CWE-192,7.5,7.5,0.0,0.0,0.0,3.0,NETWORK,NONE,NONE,1,1.5,1.2,13.5
CWE-193,7.636,9.8,1.5322066253796007,2.06,1.62,2.816326530612245,LOCAL,LOW,NONE,50,1.0,1.0,7.636
CWE-195,7.3,8.1,1.1313708498984758,1.5,1.5,3.0,ADJACENT_NETWORK,NONE,NONE,2,1.2,1.2,10.511999999999999
CWE-197,6.0,6.5,0.7071067811865476,0.0,0.0,3.0,LOCAL,LOW,NONE,2,1.0,1.0,6.0
CWE-20,7.081196581196581,10.0,1.5491306804084035,1.5160919540229885,1.5290396779758482,2.2383150605885747,NETWORK,NONE,NONE,1755,1.5,1.2,12.746153846153847
CWE-200,5.927001862197393,10.0,1.3932395896259209,2.155722326454034,0.20297951582867785,0.17318435754189945,NETWORK,NONE,NONE,537,1.5,1.2,10.668603351955307
CWE-201,5.785714285714286,8.2,1.5323495809035346,1.5714285714285714,0.5714285714285714,0.14285714285714285,NETWORK,NONE,NONE,7,1.5,1.2,10.414285714285715
CWE-202,5.6,7.5,2.6870057685088806,2.0,0.0,0.0,NETWORK,NONE,NONE,2,1.5,1.2,10.079999999999998
