[2026-03-04 12:48:28] [INFO    ] [network_scanner] Administrator privileges not found. Requesting elevation...
[2026-03-04 12:48:37] [INFO    ] [run] [*] Registering Core Modules...
[2026-03-04 12:48:37] [INFO    ] [run] [+] 11 Modules Loaded Successfully.
[2026-03-04 12:48:37] [INFO    ] [run] [*] Initializing Secure Database...
[2026-03-04 12:48:37] [INFO    ] [run] [+] Database schema verified.
[2026-03-04 12:48:37] [INFO    ] [run] [*] [BG] Pre-loading ML models (TCTR LightGBM + SentenceTransformer)...
[2026-03-04 12:48:37] [INFO    ] [run] [+] System checks complete. Launching interface...

[2026-03-04 12:48:47] [INFO    ] [run] [*] Registering Core Modules...
[2026-03-04 12:48:47] [INFO    ] [run] [+] 11 Modules Loaded Successfully.
[2026-03-04 12:48:54] [INFO    ] [run] [>] GET /admin from 127.0.0.1
[2026-03-04 12:48:54] [INFO    ] [auth_bp] [*] Accessing Admin Control Center (User: DivyaViradiya)
[2026-03-04 12:48:57] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 12:48:57] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 12:48:57] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 12:48:57] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 12:48:57] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 12:48:57] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 12:48:57] [ERROR   ] [compliance_engine] Error saving compliance report: [Errno 2] No such file or directory: 'D:\\NetShield\\NetShieldAI\\Services\\results\\DivyaViradiya_1\\compliance_report.json'
[2026-03-04 12:48:57] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 12:49:11] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 12:49:11] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 12:49:12] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 12:49:12] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 12:49:12] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 12:49:12] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 12:49:12] [ERROR   ] [compliance_engine] Error saving compliance report: [Errno 2] No such file or directory: 'D:\\NetShield\\NetShieldAI\\Services\\results\\DivyaViradiya_1\\compliance_report.json'
