[2026-03-17 12:02:26] Log cleared for new killchain scan.
[2026-03-17 12:02:28] [START] [START] Kill Chain Audit: example.com (Profile: Full Scan, Aggression: Attack)
[2026-03-17 12:02:28] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Starting scan...", "phase": "Initialization"}
[2026-03-17 12:02:28] [INFO] [+] Resolved example.com to IP: 104.18.26.120
[2026-03-17 12:02:28] [INFO] [SETUP] Starting background traffic capture...
[2026-03-17 12:02:31] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Recon Phase...", "phase": "recon_phase"}
[2026-03-17 12:02:31] [PHASE] [PHASE] RECONNAISSANCE - Surface Area Discovery
[2026-03-17 12:02:31] [STAGE] [STAGE] Scanning for subdomains and active hosts...
[2026-03-17 12:03:10] [INFO] [+] Found 10 potential subdomains.
[2026-03-17 12:03:10] [STAGE] [STAGE] Resolving subdomain IPs...
[2026-03-17 12:03:10] [INFO] [+] Resolved 10 host IPs.
[2026-03-17 12:03:10] [STAGE] [STAGE] Detecting target technology stack...
[2026-03-17 12:03:19] [INFO] [+] Detected technologies: Server
[2026-03-17 12:03:19] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Network Audit Phase...", "phase": "network_audit_phase"}
[2026-03-17 12:03:19] [PHASE] [PHASE] NETWORK AUDIT - Infrastructure Assessment
[2026-03-17 12:03:19] [INFO] [+] Resolved example.com to IP: 104.18.26.120
[2026-03-17 12:03:19] [STAGE] [STAGE] Running Nmap full scan on 104.18.26.120...
[2026-03-17 12:07:55] [INFO] [+] Nmap scan completed. Found 13 open ports.
[2026-03-17 12:07:55] [STAGE] [STAGE] Attempting brute-force on open services (Level: aggressive)...
[2026-03-17 12:07:59] [INFO] [+] No exploitable services found or brute-force failed.
[2026-03-17 12:07:59] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Waf Detect Phase...", "phase": "waf_detect_phase"}
[2026-03-17 12:07:59] [PHASE] [PHASE] WAF DETECTION
[2026-03-17 12:07:59] [STAGE] [STAGE] Checking for Web Application Firewall (WAF)...
[2026-03-17 12:07:59] [WARNING] [!] WAF Detected: Cloudflare. Scanning will be adjusted.
[2026-03-17 12:07:59] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Web Audit Phase...", "phase": "web_audit_phase"}
[2026-03-17 12:07:59] [PHASE] [PHASE] WEB AUDIT - Application Assessment
[2026-03-17 12:07:59] [STAGE] [STAGE] Crawling web application (Max Pages: 1000)...
[2026-03-17 12:07:59] [INFO] [+] Crawler found 0 URLs, 0 forms, and 0 API endpoints.
[2026-03-17 12:07:59] [STAGE] [STAGE] Performing directory fuzzing (Max Depth: 4)...
[2026-03-17 12:08:00] [INFO] [+] Directory fuzzer found 0 potential paths.
[2026-03-17 12:08:00] [STAGE] [STAGE] Running advanced web vulnerability checks...
[2026-03-17 12:08:00] [INFO] [+] Web vulnerability scanner found 2 findings.
[2026-03-17 12:08:00] [STAGE] [STAGE] Running custom parameter injection scanner...
[2026-03-17 12:08:00] [INFO] [+] Custom scanner found 0 findings.
[2026-03-17 12:08:00] [STAGE] [STAGE] Running logic-based vulnerability checks...
[2026-03-17 12:08:00] [INFO] [+] Logic scanner found 0 findings.
[2026-03-17 12:08:00] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Zap Scan Phase...", "phase": "zap_scan_phase"}
[2026-03-17 12:08:00] [PHASE] [PHASE] ZAP SCAN - Comprehensive DAST
[2026-03-17 12:08:00] [STAGE] [STAGE] Starting OWASP ZAP quick scan...
[2026-03-17 12:08:00] [ZAP] [*] ZAP: Initializing on port 62336...
[2026-03-17 12:08:00] [ZAP] [*] Waiting for ZAP initialization on port 62336 (timeout: 240s)...
[2026-03-17 12:08:00] [ZAP] [ZAP Daemon] C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\Divy\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\Divy\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m )
[2026-03-17 12:08:00] [ZAP] [ZAP Daemon] C:\Program Files\ZAP\Zed Attack Proxy>java -Xmx512m -jar zap-2.17.0.jar -daemon -silent -port 62336 -dir D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_62336 -config api.disablekey=true -config api.addrs.addr.name=.* -config api.addrs.addr.regex=true
[2026-03-17 12:08:01] [ZAP] [ZAP Daemon] 798 [main] INFO  org.parosproxy.paros.Constant - Copying default configuration to D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_62336\config.xml
[2026-03-17 12:08:02] [ZAP] [ZAP Daemon] 974 [main] INFO  org.parosproxy.paros.Constant - Creating directory D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_62336\session
[2026-03-17 12:08:02] [ZAP] [ZAP Daemon] 975 [main] INFO  org.parosproxy.paros.Constant - Creating directory D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_62336\dirbuster
[2026-03-17 12:08:02] [ZAP] [ZAP Daemon] 975 [main] INFO  org.parosproxy.paros.Constant - Creating directory D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_62336\fuzzers
[2026-03-17 12:08:02] [ZAP] [ZAP Daemon] 975 [main] INFO  org.parosproxy.paros.Constant - Creating directory D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_62336\plugin
[2026-03-17 12:08:02] [ZAP] [ZAP Daemon] 1123 [main] INFO  org.zaproxy.zap.DaemonBootstrap - ZAP 2.17.0 started 17/03/2026, 12:08:02 with home: D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_62336\ cores: 12 maxMemory: 512 MB
[2026-03-17 12:08:02] [ZAP] [ZAP Daemon] 1166 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config api.disablekey = true was null
[2026-03-17 12:08:02] [ZAP] [ZAP Daemon] 1166 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config api.addrs.addr.name = .* was null
[2026-03-17 12:08:02] [ZAP] [ZAP Daemon] 1167 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config api.addrs.addr.regex = true was null
[2026-03-17 12:08:17] [ZAP] [ZAP Daemon] 16040 [ZAP-daemon] INFO  org.zaproxy.zap.control.ExtensionFactory - Installed add-ons: [[id=alertFilters, version=26.0.0], [id=ascanrules, version=78.0.0], [id=authhelper, version=0.34.0], [id=automation, version=0.58.0], [id=bruteforce, version=20.0.0], [id=callhome, version=0.20.0], [id=client, version=0.20.0], [id=commonlib, version=1.39.0], [id=database, version=0.9.0], [id=diff, version=18.0.0], [id=directorylistv1, version=9.0.0], [id=domxss, version=23.0.0], [id=encoder, version=1.8.0], [id=exim, version=0.16.0], [id=formhandler, version=6.8.0], [id=fuzz, version=13.16.0], [id=gettingStarted, version=20.0.0], [id=graaljs, version=0.12.0], [id=graphql, version=0.29.0], [id=help, version=22.0.0], [id=hud, version=0.19.0], [id=insights, version=0.0.1], [id=invoke, version=17.0.0], [id=network, version=0.25.0], [id=oast, version=0.24.0], [id=onlineMenu, version=15.0.0], [id=openapi, version=48.0.0], [id=postman, version=0.9.0], [id=pscan, version=0.6.0], [id=pscanrules, version=70.0.0], [id=quickstart, version=53.0.0], [id=replacer, version=21.0.0], [id=reports, version=0.43.0], [id=requester, version=7.9.0], [id=retest, version=0.11.0], [id=retire, version=0.52.0], [id=reveal, version=10.0.0], [id=scanpolicies, version=0.7.0], [id=scripts, version=45.17.0], [id=selenium, version=15.43.0], [id=sequence, version=9.0.0], [id=soap, version=29.0.0], [id=spider, version=0.18.0], [id=spiderAjax, version=23.29.0], [id=tips, version=16.0.0], [id=webdriverwindows, version=170.0.0], [id=websocket, version=35.0.0], [id=zest, version=48.11.0]]
[2026-03-17 12:08:17] [ZAP] [ZAP Daemon] 16043 [ZAP-daemon] INFO  org.zaproxy.zap.control.ExtensionFactory - Loading extensions
[2026-03-17 12:08:18] [ZAP] [ZAP Daemon] 16987 [ZAP-daemon] INFO  org.zaproxy.addon.network.internal.TlsUtils - Using supported SSL/TLS protocols: [TLSv1.2, TLSv1.3]
[2026-03-17 12:08:18] [ZAP] [ZAP Daemon] 17822 [ZAP-daemon] INFO  org.zaproxy.zap.control.ExtensionFactory - Extensions loaded
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18520 [ZAP-daemon] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:hsqldb:file:D:/NetShield/NetShieldAI/Services/temp/killchain_zap/killchain_62336/session/untitled1 (HSQL Database Engine 2.7)
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18651 [ZAP-daemon] INFO  org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory - Schema history table "PUBLIC"."AUTHHELPER_FLYWAY_SCHEMA_HISTORY" does not exist yet
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18659 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbValidate - Successfully validated 6 migrations (execution time 00:00.036s)
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18677 [ZAP-daemon] INFO  org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory - Creating Schema History table "PUBLIC"."AUTHHELPER_FLYWAY_SCHEMA_HISTORY" with baseline ...
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18745 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbBaseline - Successfully baselined schema with version: 0
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18771 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Current version of schema "PUBLIC": 0
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18801 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "1 - Create tables"
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18828 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "2 - Create storage tables"
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18850 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "3 - Improve diags"
[2026-03-17 12:08:19] [ZAP] [ZAP Daemon] 18870 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "4 - Web element selector"
[2026-03-17 12:08:20] [ZAP] [ZAP Daemon] 18887 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "5 - Af plan"
[2026-03-17 12:08:20] [ZAP] [ZAP Daemon] 18904 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Migrating schema "PUBLIC" to version "6 - Auth report data"
[2026-03-17 12:08:20] [ZAP] [ZAP Daemon] 18926 [ZAP-daemon] INFO  org.flywaydb.core.internal.command.DbMigrate - Successfully applied 6 migrations to schema "PUBLIC", now at version v6 (execution time 00:00.025s)
[2026-03-17 12:08:23] [ZAP] [ZAP Daemon] 22758 [ZAP-daemon] INFO  org.parosproxy.paros.extension.ExtensionLoader - Initializing Auto-update Extension - Allows ZAP to check for updates
