2026-03-04 12:50:39 - INFO - New local chat session started: edb91796-a077-411c-bdda-22b0428ae159
2026-03-04 19:15:19 - INFO - Initiating stream to http://127.0.0.1:5000/chat_stream for session edb91796-a077-411c-bdda-22b0428ae159
2026-03-04 19:15:19 - INFO - Initiating stream to http://127.0.0.1:5000/chat_stream for session edb91796-a077-411c-bdda-22b0428ae159
2026-03-04 19:15:28 - INFO - Stream updated local session ID to: cb2e2ca8-510c-4388-abca-dafdddfb67f7
2026-03-04 19:15:28 - INFO - Stream updated local session ID to: cb2e2ca8-510c-4388-abca-dafdddfb67f7
2026-03-04 19:16:00 - INFO - Initiating stream to http://127.0.0.1:5000/chat_stream for session cb2e2ca8-510c-4388-abca-dafdddfb67f7
2026-03-04 19:16:00 - INFO - Initiating stream to http://127.0.0.1:5000/chat_stream for session cb2e2ca8-510c-4388-abca-dafdddfb67f7
2026-03-04 19:16:11 - INFO - Initiating stream to http://127.0.0.1:5000/chat_stream for session cb2e2ca8-510c-4388-abca-dafdddfb67f7
2026-03-04 19:16:11 - INFO - Initiating stream to http://127.0.0.1:5000/chat_stream for session cb2e2ca8-510c-4388-abca-dafdddfb67f7
2026-03-04 19:16:30 - INFO - Initiating stream to http://127.0.0.1:5000/chat_stream for session cb2e2ca8-510c-4388-abca-dafdddfb67f7
2026-03-04 19:16:30 - INFO - Initiating stream to http://127.0.0.1:5000/chat_stream for session cb2e2ca8-510c-4388-abca-dafdddfb67f7
