[2026-03-04 15:44:07] Log cleared for new killchain scan.
[2026-03-04 15:44:08] [START] [START] Kill Chain Audit: testphp.vulnweb.com (Profile: Full Scan, Aggression: Attack)
[2026-03-04 15:44:08] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Starting scan...", "phase": "Initialization"}
[2026-03-04 15:44:08] [INFO] [+] Resolved testphp.vulnweb.com to IP: 44.228.249.3
[2026-03-04 15:44:08] [INFO] [SETUP] Starting background traffic capture...
[2026-03-04 15:44:09] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Recon Phase...", "phase": "recon_phase"}
[2026-03-04 15:44:09] [PHASE] [PHASE] RECONNAISSANCE - Surface Area Discovery
[2026-03-04 15:44:09] [STAGE] [STAGE] Scanning for subdomains and active hosts...
[2026-03-04 15:44:17] [INFO] [+] Found 1 potential subdomains.
[2026-03-04 15:44:17] [STAGE] [STAGE] Resolving subdomain IPs...
[2026-03-04 15:45:20] [INFO] [+] Resolved 1 host IPs.
[2026-03-04 15:45:20] [STAGE] [STAGE] Detecting target technology stack...
[2026-03-04 15:45:21] [INFO] [+] Detected technologies: Server, Language
[2026-03-04 15:45:21] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Network Audit Phase...", "phase": "network_audit_phase"}
[2026-03-04 15:45:21] [PHASE] [PHASE] NETWORK AUDIT - Infrastructure Assessment
[2026-03-04 15:45:21] [INFO] [+] Resolved testphp.vulnweb.com to IP: 44.228.249.3
[2026-03-04 15:45:21] [STAGE] [STAGE] Running Nmap full scan on 44.228.249.3...
[2026-03-04 15:51:58] [INFO] [+] Nmap scan completed. Found 1 open ports.
[2026-03-04 15:51:58] [STAGE] [STAGE] Attempting brute-force on open services (Level: aggressive)...
[2026-03-04 15:51:59] [INFO] [+] No exploitable services found or brute-force failed.
[2026-03-04 15:51:59] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Waf Detect Phase...", "phase": "waf_detect_phase"}
[2026-03-04 15:51:59] [PHASE] [PHASE] WAF DETECTION
[2026-03-04 15:51:59] [STAGE] [STAGE] Checking for Web Application Firewall (WAF)...
[2026-03-04 15:52:06] [INFO] [+] No WAF detected.
[2026-03-04 15:52:06] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Web Audit Phase...", "phase": "web_audit_phase"}
[2026-03-04 15:52:06] [PHASE] [PHASE] WEB AUDIT - Application Assessment
[2026-03-04 15:52:06] [STAGE] [STAGE] Crawling web application (Max Pages: 1000)...
[2026-03-04 15:52:12] [INFO] [+] Crawler found 26 URLs, 38 forms, and 0 API endpoints.
[2026-03-04 15:52:12] [STAGE] [STAGE] Performing directory fuzzing (Max Depth: 4)...
[2026-03-04 15:52:22] [INFO] [+] Directory fuzzer found 3 potential paths.
[2026-03-04 15:52:22] [STAGE] [STAGE] Running advanced web vulnerability checks...
[2026-03-04 15:52:30] [INFO] [+] Web vulnerability scanner found 3 findings.
[2026-03-04 15:52:30] [STAGE] [STAGE] Running custom parameter injection scanner...
[2026-03-04 15:52:30] [INFO] [+] Custom scanner found 0 findings.
[2026-03-04 15:52:30] [STAGE] [STAGE] Running logic-based vulnerability checks...
[2026-03-04 15:52:30] [INFO] [+] Logic scanner found 0 findings.
[2026-03-04 15:52:30] [EVENT] EVENT: scan_status | PAYLOAD: {"message": "Running Zap Scan Phase...", "phase": "zap_scan_phase"}
[2026-03-04 15:52:30] [PHASE] [PHASE] ZAP SCAN - Comprehensive DAST
[2026-03-04 15:52:30] [STAGE] [STAGE] Starting OWASP ZAP quick scan...
[2026-03-04 15:52:30] [ZAP] [*] ZAP: Initializing on port 27330...
[2026-03-04 15:52:30] [ZAP] [*] Waiting for ZAP initialization on port 27330 (timeout: 240s)...
[2026-03-04 15:52:30] [ZAP] [ZAP Daemon] C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\Divy\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\Divy\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m )
[2026-03-04 15:52:30] [ZAP] [ZAP Daemon] C:\Program Files\ZAP\Zed Attack Proxy>java -Xmx512m -jar zap-2.17.0.jar -daemon -silent -port 27330 -dir D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_27330 -config api.disablekey=true -config api.addrs.addr.name=.* -config api.addrs.addr.regex=true
[2026-03-04 15:52:31] [ZAP] [ZAP Daemon] 635 [main] INFO  org.parosproxy.paros.Constant - Copying default configuration to D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_27330\config.xml
[2026-03-04 15:52:31] [ZAP] [ZAP Daemon] 779 [main] INFO  org.parosproxy.paros.Constant - Creating directory D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_27330\session
[2026-03-04 15:52:31] [ZAP] [ZAP Daemon] 779 [main] INFO  org.parosproxy.paros.Constant - Creating directory D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_27330\dirbuster
[2026-03-04 15:52:31] [ZAP] [ZAP Daemon] 779 [main] INFO  org.parosproxy.paros.Constant - Creating directory D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_27330\fuzzers
[2026-03-04 15:52:31] [ZAP] [ZAP Daemon] 781 [main] INFO  org.parosproxy.paros.Constant - Creating directory D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_27330\plugin
[2026-03-04 15:52:31] [ZAP] [ZAP Daemon] 908 [main] INFO  org.zaproxy.zap.DaemonBootstrap - ZAP 2.17.0 started 04/03/2026, 15:52:31 with home: D:\NetShield\NetShieldAI\Services\temp\killchain_zap\killchain_27330\ cores: 12 maxMemory: 512 MB
[2026-03-04 15:52:31] [ZAP] [ZAP Daemon] 955 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config api.disablekey = true was null
[2026-03-04 15:52:31] [ZAP] [ZAP Daemon] 955 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config api.addrs.addr.name = .* was null
[2026-03-04 15:52:31] [ZAP] [ZAP Daemon] 956 [main] INFO  org.parosproxy.paros.common.AbstractParam - Setting config api.addrs.addr.regex = true was null
[2026-03-04 15:52:46] [ZAP] [ZAP Daemon] 15228 [ZAP-daemon] INFO  org.zaproxy.zap.control.ExtensionFactory - Installed add-ons: [[id=alertFilters, version=26.0.0], [id=ascanrules, version=78.0.0], [id=authhelper, version=0.34.0], [id=automation, version=0.58.0], [id=bruteforce, version=20.0.0], [id=callhome, version=0.20.0], [id=client, version=0.20.0], [id=commonlib, version=1.39.0], [id=database, version=0.9.0], [id=diff, version=18.0.0], [id=directorylistv1, version=9.0.0], [id=domxss, version=23.0.0], [id=encoder, version=1.8.0], [id=exim, version=0.16.0], [id=formhandler, version=6.8.0], [id=fuzz, version=13.16.0], [id=gettingStarted, version=20.0.0], [id=graaljs, version=0.12.0], [id=graphql, version=0.29.0], [id=help, version=22.0.0], [id=hud, version=0.19.0], [id=insights, version=0.0.1], [id=invoke, version=17.0.0], [id=network, version=0.25.0], [id=oast, version=0.24.0], [id=onlineMenu, version=15.0.0], [id=openapi, version=48.0.0], [id=postman, version=0.9.0], [id=pscan, version=0.6.0], [id=pscanrules, version=70.0.0], [id=quickstart, version=53.0.0], [id=replacer, version=21.0.0], [id=reports, version=0.43.0], [id=requester, version=7.9.0], [id=retest, version=0.11.0], [id=retire, version=0.52.0], [id=reveal, version=10.0.0], [id=scanpolicies, version=0.7.0], [id=scripts, version=45.17.0], [id=selenium, version=15.43.0], [id=sequence, version=9.0.0], [id=soap, version=29.0.0], [id=spider, version=0.18.0], [id=spiderAjax, version=23.29.0], [id=tips, version=16.0.0], [id=webdriverwindows, version=170.0.0], [id=websocket, version=35.0.0], [id=zest, version=48.11.0]]
[2026-03-04 15:52:46] [ZAP] [ZAP Daemon] 15235 [ZAP-daemon] INFO  org.zaproxy.zap.control.ExtensionFactory - Loading extensions
