[2025-12-30 12:14:05] [*] Starting ZAP Quick Scan for http://testphp.vulnweb.com (User: 1)...
[2025-12-30 12:14:05] Checking for and terminating existing ZAP processes...
[2025-12-30 12:14:07] No running ZAP processes found.
[2025-12-30 12:14:07] 
--- Starting ZAP Quick Scan ---
[2025-12-30 12:14:07] Target: http://testphp.vulnweb.com
[2025-12-30 12:14:07] Report will be saved to: D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml
[2025-12-30 12:14:07] Executing command: C:\Program Files\ZAP\Zed Attack Proxy\zap.bat -cmd -quickurl http://testphp.vulnweb.com -quickout D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml -quickprogress
[2025-12-30 12:14:07] --- ZAP Output Stream Started ---
[2025-12-30 12:14:07] 
[2025-12-30 12:14:07] C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\Divy\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\Divy\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m )
[2025-12-30 12:14:07] 
[2025-12-30 12:14:07] C:\Program Files\ZAP\Zed Attack Proxy>java -Xmx512m -jar zap-2.16.1.jar -cmd -quickurl http://testphp.vulnweb.com -quickout D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml -quickprogress
[2025-12-30 12:14:26] WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
[2025-12-30 12:14:26] WARNING: sun.misc.Unsafe::objectFieldOffset has been called by io.netty.util.internal.PlatformDependent0$4 (file:/C:/Users/Divy/ZAP/plugin/network-beta-0.23.0.zap)
[2025-12-30 12:14:26] WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$4
[2025-12-30 12:14:26] WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[2025-12-30 12:14:28] Accessing URL
[2025-12-30 12:14:29] Using traditional spider
[2025-12-30 12:14:32] [=========           ] 47% |
[2025-12-30 12:14:32] [=============       ] 65% /
[2025-12-30 12:14:33] [============        ] 62% -
[2025-12-30 12:14:34] [=================   ] 87% \
[2025-12-30 12:14:34] [=================== ] 95% |
[2025-12-30 12:14:34] [====================] 100%
[2025-12-30 12:14:36] Active scanning
[2025-12-30 12:14:37] [                    ] 0% |
[2025-12-30 12:14:38] [                    ] 0% /
[2025-12-30 12:14:38] [                    ] 0% -
[2025-12-30 12:14:39] [                    ] 0% \
[2025-12-30 12:14:39] [                    ] 0% |
[2025-12-30 12:14:40] [                    ] 0% /
[2025-12-30 12:14:40] [                    ] 0% -
[2025-12-30 12:14:41] [                    ] 0% \
[2025-12-30 12:14:41] [                    ] 0% |
[2025-12-30 12:14:42] [                    ] 0% /
[2025-12-30 12:14:42] [                    ] 0% -
[2025-12-30 12:14:43] [                    ] 0% \
[2025-12-30 12:14:43] [                    ] 0% |
